Sponsor,Center,Count
"Souder, Miller and Associates","Nantucket, Massachusetts",1
South High Community School,"Venice, Italy",4
South High Community School,"Copenhagen, Denmark",2
South High Community School,New Zealand,2
"Spencer, MA","Copenhagen, Denmark",1
Spencer-East Brookfield Regional School District,"Washington, DC",5
"Sponsored by: Visual Impairment Knowledge Center and the Educational Consultants for Visual Impaired Students in Storstr?ms Amt, Copenhagen, Denmark","Windhoek, Namibia",1
Sponsoring agency: WPI Plant Services,Morocco,1
St Joseph's Alumnae Association,"Bangkok, Thailand",1
St. Croix Country Day School,"Venice, Italy",2
Stadt Warstein,"London, England",2
"State Government of Victoria, Australia - Department of Human Services, Capital Management Branch",Albania,2
"State Government of Victoria, Australia - Department of Human Services, Capital Management Branch","London, England",2
"State Government of Victoria, Australia - Department of Human Services, Capital Management Branch",Morocco,2
"State Government of Victoria, Australia - Department of Human Services, Capital Management Branch","San Jose, Costa Rica",2
"State Government of Victoria, Australia - Department of Human Services, Capital Management Branch","Zurich, Switzerland",2
"State of Hessen, Germany","Hong Kong, China",1
State Representative Anne Gobi,"Boston, Massachusetts",1
Stellenbosch Dept. of Integrated Human Settlements,"Cape Town, South Africa",2
Stellenbosch Municipality,"Cape Town, South Africa",4
Stellenbosch Municipality Human Settlements and Pr,"Washington, DC",1
"Stellenbosch Municipality, Liaison David Carolisse","Cape Town, South Africa",1
Stem Education Center,"Nantucket, Massachusetts",2
Stephanie Pasha,"Bar Harbor, Maine",2
"Steve Gardam, London Transport Museum","London, England",1
Stiftung fur das Wohl des Hundes,India,1
Stone Soup Community Center,"Ifrane, Morocco",1
Stow Food Pantry,"London, England",2
Studio Zandinella,"Venice, Italy",1
SUDAM (Superintendencia para o Desenvolvimento da Amazonia),Costa Rica,3
Suffolk University Law School,"San Jose, Costa Rica",4
Superintendence for Archaeological Heritage of Venice; UNESCO,"Bangkok, Thailand",4
Superintendence for Archaeological Heritage of Venice; UNESCO,"Venice, Italy",2
Supernova Edizioni,"Venice, Italy",2
Supernova Edizioni,Worcester Community Project Center,1
Susan Buckingham,"London, England",1
Sustainable Nantucket,"Nantucket, Massachusetts",7
Sutton Community Farm,"London, England",1
Svetlana Nikitina,Puerto Rico,1
"Swiss Federal Institute for Snow and Avalanche Research, Davos, Switzerland","Venice, Italy",1
Swiss Science Center,"London, England",1
Swissgrid,"Zurich, Switzerland",2
Tahanto Regional High School,"Cape Town, South Africa",1
Tahanto Regional Middle/High School,"Melbourne, Australia",1
Tao Ngoi Pattanasuksa School,"Washington, DC",1
Tate Modern,"London, England",1
"Tatnuck Magnet School, Worcester, MA","Bar Harbor, Maine",3
Te Papa Museum,"Melbourne, Australia",3
Te Papa Museum,New Zealand,1
Te Papa Tongarewa,New Zealand,1
Teacher Preparation Program,"Boston, Massachusetts",1
Technical University of Darmstadt,"Darmstadt, Germany",1
Technische Universitat Darmstadt,Worcester Community Project Center,1
Technische Universitat-Darmstadt,"Venice, Italy",1
Terese McLeod and Emma Dunning,New Zealand,1
"Tesuque pueblo, SFIS","Sante Fe, New Mexico",2
Thai Public Broadcasting Service,"Bangkok, Thailand",1
ThaiWheel,"Venice, Italy",2
Thamassat School of Public Health/ EGAT,"Bangkok, Thailand",1
Thammasat University,"Bangkok, Thailand",3
The 59store,"Hangzhou, China",1
The American Choral Directors Association Eastern,"Sante Fe, New Mexico",1
The Big Issue,"Cape Town, South Africa",2
The Boston Harbor Association,"Boston, Massachusetts",6
The British Museum,"London, England",5
The Campus Kitchens Project,"Worcester, MA",2
The Can Do Team,"Bangkok, Thailand",1
The 'Can Do Team of Thung Khru',"Bangkok, Thailand",1
The Center for Lifelong Education at the American,"Sante Fe, New Mexico",2
The Center for Lifelong Education at the American,Worcester Community Project Center,1
The Chaipattana Foundation,"Bangkok, Thailand",4
The Charles Dickens Museum,"London, England",9
"The City of Cape Town, Water and Sanitation Depart","Cape Town, South Africa",7
The City of Santa Fe,"Sante Fe, New Mexico",1
The Conservation Trust of Puerto Rico,"San Juan, Puerto Rico",1
"The Conway Library, London, England","Melbourne, Australia",3
The Copenhagen School of Entrepreneurship,Morocco,1
The Danish Association of the Blid,"Copenhagen, Denmark",1
The Danish Association of the Blind,"Copenhagen, Denmark",7
The Danish Association of the Blind and Euman,"Copenhagen, Denmark",1
The Danish National Museum,"Copenhagen, Denmark",1
"The Department of Infrastructure, Water and Techni","Windhoek, Namibia",3
The Duang Prateep Foundation,"Bangkok, Thailand",3
THE E.W. TIPPING FOUNDATION,"Melbourne, Australia",2
The Eli Whitney Musuem,"Boston, Massachusetts",1
The Financial University,Russia,1
The Foundation of Mrigadayavan Palace,"Bangkok, Thailand",3
The Free Store,"London, England",1
The Georgia O'Keeffe Museum,"Sante Fe, New Mexico",1
The Grafton Sewer Department,"Hong Kong, China",3
"The Greek Alumni Council, Green Subcommittee","Worcester, MA",3
The Green Valleys Community Interest Company,"Venice, Italy",2
The Higgins Armory,"Washington, DC",4
The Honeybee Foundation,"Cape Town, South Africa",2
The Honeybee Foundation,"Venice, Italy",1
The Hong Kong Museum of History,"Hong Kong, China",1
The International Institute of Tropical Forestry,"San Juan, Puerto Rico",1
The Learning Prison,"Hong Kong, China",1
The London Borough of Croydon,"London, England",1
The London Borough of Merton,"London, England",1
The Mahavachiralongkorn Thanyaburi Cancer Center,"Bangkok, Thailand",1
The Mars Foundation,"Boston, Massachusetts",1
The Men on the Side of the Road,Namibia,4
The Men on the Side of the Road Project,Namibia,2
The Ministry of Fisheries and Marine Resources of,"Windhoek, Namibia",1
The Montachusett Regional Planning Commission,"Bangkok, Thailand",6
The National Museum of Namibia,"Windhoek, Namibia",1
The New England Aquarium,"Boston, Massachusetts",2
The Office of H.R.H. Princess Maha Chakri Sirindho,"Bangkok, Thailand",2
The Office of H.R.H. Princess Sirindhorn,"Bangkok, Thailand",1
The Office of Her Royal Highness Princess Maha Cha,"Bangkok, Thailand",1
The Office of HRH Princess Maha Chakri Sirindhorn',"Bangkok, Thailand",1
The Office of HRH Princess Maha Chakri Sirindhorn',"Washington, DC",1
The Office of HRH Princess Maha Chakri Sirindhornâ,"Bangkok, Thailand",4
The Office of Pre-Collegiate Outreach Programs,WORC / Worcester Community Project Center,1
The Population and Community Development Associati,"Bangkok, Thailand",1
The Postal Museum,Costa Rica,1
The Postal Museum,"London, England",1
The Postal Museum,"Panama City, Panama",1
The Royal Armouries,"London, England",3
The Royal Armouries at HM Tower of London,Namibia,6
The Royal Armouries at HM Tower of London,"London, England",1
"The Royal Association of Disability and Rehabilitation, London, England","London, England",1
The Royal Borough of Kingston,"London, England",3
The Royal Borough of Kingston upon Thames,"London, England",1
The Royal Victorian Institute for the Blind,"Melbourne, Australia",2
The SATI Foundation,"Bangkok, Thailand",4
The Sati Foundation,"Bangkok, Thailand",1
The Science Shop,"Copenhagen, Denmark",3
The Shaster Foundation,"Cape Town, South Africa",4
The STEM Education Center at WPI,"Windhoek, Namibia",1
The Studio at Copenhagen Business School,"Copenhagen, Denmark",1
The Urban Development Institute Foundation,"Bangkok, Thailand",1
The Victorian Deaf Society,"Melbourne, Australia",1
The Worcester Energy Barnraisers,"Venice, Italy",1
The Worcester Roots Project,Namibia,1
The ZHAW Chemistry Institute,"Zurich, Switzerland",7
TheMAAK,"Hong Kong, China",1
Tim Firment,Worcester Community Project Center,1
"Tourism Division of the City of Windhoek, Namibia","Bangkok, Thailand",1
Tower Bridge,Namibia,9
Town Manager's Office,"Cape Town, South Africa",1
Town Manager's Office,"Nantucket, Massachusetts",1
Town of Auburn,Worcester Community Project Center,2
Town of Boxborough,"Venice, Italy",4
Town of Charlton,Worcester Community Project Center,1
Town of Leicester Massachusetts & Massachusetts De,Worcester Community Project Center,2
Town of Millbury,Worcester Community Project Center,2
Town of Millbury -- Department of Public Works,Costa Rica,1
Town of Nantucket Energy Office,"Nantucket, Massachusetts",2
Town of Nantucket Information Technology Departmen,"Nantucket, Massachusetts",5
"Town of Spencer, Massachusetts Planning Board","Copenhagen, Denmark",2
TransNamib,Namibia,4
TransNamib,"Washington, DC",2
TransNamib Holding Company,Namibia,1
TransNamib Holdings Ltd,Namibia,1
TransNamib Holdings Ltd.,"Venice, Italy",1
Transport for London/London Underground,"London, England",1
Tressure Valley Scout Reservation,"Venice, Italy",4
Tristram Dammin & Malcolm MacNab,"Nantucket, Massachusetts",1
Tuapse Tourism Department,Russia,1
Tufts Cummings School of Veterinary Medicine,"Copenhagen, Denmark",1
Turn Back Time Farm,Morocco,1
Turn Back Time Farms,"Washington, DC",2
Turn Back Time Inc.,"Hangzhou, China",4
TVSR,Costa Rica,1
U.S. Coast Guard,Namibia,4
U.S. Consumer Product Safety Commission,"Washington, DC",4
U.S. Consumer Product Safety Commission,"Venice, Italy",2
U.S. Department of Energy,"Washington, DC",3
U.S. Geological Survey,Worcester Community Project Center,1
"U.S. Geological Survey, Caribbean District, San Juan, Puerto Rico","Venice, Italy",5
U.S. Patent & Trademark Office,Namibia,4
UDP,"Hong Kong, China",1
Ueber den Tellerand,"San Juan, Puerto Rico",1
Ufficio Mobilità Acquea,"Venice, Italy",1
Ugra National Park,Russia,1
UKKO JSC,Albania,2
"Uma Langkulsen, Faculty of Public Health at Thamma","Bangkok, Thailand",1
"UMass HealthNet, University of Massachusetts Medical School","Venice, Italy",6
UMass Medical School,"London, England",2
UMass Memorial Hospital,Worcester Community Project Center,12
UMass Memorial Hospital,"Sante Fe, New Mexico",1
Un Techo Para Mi Pais,Costa Rica,1
UNESCO,"Venice, Italy",7
UNESCO Liaison Office for the Safeguarding of Venice,"London, England",2
"UNESCO, Thailand and Thailand Fine Arts Department","Sante Fe, New Mexico",2
Union of Concerned Scientists,"Cape Town, South Africa",1
Union of Concerned Scientists,"Venice, Italy",1
"United Nations Educational Scientific and Cultural Organization, Bangkok, Thailand","San Jose, Costa Rica",1
United States Coast Guard,"Washington, DC",20
United States Coast Guard,Puerto Rico,2
United States Consumer Product Safety Commission,"Washington, DC",1
United States Department of Energy,"Venice, Italy",2
United States Department of Energy,"Washington, DC",1
United States Forest Service,Puerto Rico,3
United States Forest Service,"San Juan, Puerto Rico",1
United States Patent and Trademark Office,"Washington, DC",23
United Way of Central Massachusetts,Worcester Community Project Center,2
United Way of Central Massachusetts,"Venice, Italy",1
"United Way of Central Massachusetts, Worcester, MA",Namibia,4
Universidad Latina,Costa Rica,1
Universidad Technologico de Panama,"London, England",1
Universidad Tecnológica de Panama,"Panama City, Panama",2
Universidad Tecnológica Oteima,"Panama City, Panama",2
Universidad Tecnologica de Panama,"Panama City, Panama",1
University of Costa Rica,Costa Rica,1
University of Massachusetts Medical Center,"Venice, Italy",1
University of Massachusetts/Memorial Health Center,Costa Rica,11
University of Massachusetts/Memorial Health Center,"Melbourne, Australia",5
University of Massachusetts/Memorial Health Center,"Cape Town, South Africa",3
University of NM,Morocco,1
University of Puerto Rico,"San Juan, Puerto Rico",1
University of Puerto Rico - Mayaguez,"San Juan, Puerto Rico",1
University of Puerto Rico - Rio Piedras,"San Juan, Puerto Rico",1
"University of Puerto Rico Mayaguez, Sea Grant College Program","Venice, Italy",2
"University of Puerto Rico, Rio Piedras","San Juan, Puerto Rico",4
University of Salzburg,"Melbourne, Australia",6
University of Salzburg,Worcester Community Project Center,2
University of Tirana,"Melbourne, Australia",5
University of Worcester,"London, England",5
University of Worcester,"San Jose, Costa Rica",4
University of Worcester,"Copenhagen, Denmark",3
University of Worcester,"Hong Kong, China",2
University of Worcester,"Sante Fe, New Mexico",2
University of Worcester,"Washington, DC",2
University of Worcester,"Worcester, MA",2
University Of Worcester,"Venice, Italy",1
University of Worcester,"Melbourne, Australia",1
University of Worcester,"Venice, Italy",1
"University of Worcester UK, Elena Lengthorn","Venice, Italy",1
"University of Worcester, Kingston University (UK)","Sante Fe, New Mexico",2
"Upkeep, London, England","Venice, Italy",3
Urban Institute,Namibia,4
Urban Institute,"Washington, DC",2
Urban Mathematics Collaborative project,"Venice, Italy",3
Urban Renewal Authority,"Hong Kong, China",9
Urban Renewal Authority,Namibia,1
Urban Water,"Copenhagen, Denmark",1
Urmatt,"Venice, Italy",1
"Urmatt, Ltd.","Bangkok, Thailand",1
US Coast Guard,"Venice, Italy",6
US Consumer Product Safety Commission,"Washington, DC",7
US Department of Energy,"Washington, DC",3
US Department of Energy,"Venice, Italy",1
US Environmental Protection Agency,"Washington, DC",1
US Forest Service,Puerto Rico,2
US Patent & Trademark Office,"London, England",1
US Patent & Trademark Office,Morocco,1
US Patent & Trademark Office,"San Jose, Costa Rica",1
US Patent and Trademark Office,"Washington, DC",3
US Patent Office,"Venice, Italy",1
USCG,"Washington, DC",7
USCG,"Venice, Italy",1
USGS/Matthew Larson,"London, England",2
USPTO,"Washington, DC",5
USPTO,"Worcester, MA",1
USZ,New Zealand,2
"Utilities and Facilities Department of Spencer, MA","Bangkok, Thailand",1
Uwe Shulz and Shaun West,"Zurich, Switzerland",1
VA Boston Healthcare System - West Roxbury Campus,"Copenhagen, Denmark",2
VA West Roxbury Hospital,"Washington, DC",2
Vela,"San Jose, Costa Rica",4
Venice Centro Maree,"Venice, Italy",3
Venice Department of Mobility and Transportation,"Venice, Italy",1
Venice Mobility Department,"Venice, Italy",2
Venice Open Data,"Venice, Italy",1
Verizon,"Worcester, MA",1
Vetreria Archimede Seguso,"Sante Fe, New Mexico",1
Vicor Corporation,Namibia,2
Victoria and Albert Museum,"London, England",4
Victoria Building Commission,"Melbourne, Australia",1
"Victoria Department of Education and Training, Melbourne, Australia","Melbourne, Australia",1
Victoria University of Wellington,New Zealand,6
Victoria University Wellington,New Zealand,1
Victorian Counseling and Psychological Services,"Melbourne, Australia",2
Victorian Counselling and Psychological Services,"Melbourne, Australia",1
Victorian Deaf Society,"Melbourne, Australia",7
Victorian Emergency Services Foundation,"Melbourne, Australia",1
"Victorian Environment Protection Agency, Melbourne, Australia","Melbourne, Australia",6
Videncenter for Synshandicap,"Copenhagen, Denmark",1
Violence Prevention through Urban Upgrading,"Cape Town, South Africa",8
Violence Prevention through Urban Upgrading and th,"Cape Town, South Africa",1
Violence Protection Through Urban Upgrading,"Cape Town, South Africa",2
Vision Australia,"Melbourne, Australia",5
Vision Systems,"Windhoek, Namibia",1
Vision to Reality,Costa Rica,1
Visual Impairment and Knowledge Centre,"Copenhagen, Denmark",1
VIVA Idea,Costa Rica,2
Voces Vitales,Costa Rica,1
Voces Vitales,"Washington, DC",1
Voces Vitales Costa Rica,Costa Rica,7
Voces Vitales Costa Rica,"Worcester, MA",1
VPC,"Venice, Italy",2
VPC,"Melbourne, Australia",1
VPUU and Sikhula Sonke,"Cape Town, South Africa",2
"Wachusett Earthday, Inc.",Worcester Community Project Center,1
Wachusett Regional High School,"Washington, DC",3
Wachusett Regional High School,"Venice, Italy",2
Wachusett Regional High School,"Melbourne, Australia",1
Walden State Park Reservation,"Venice, Italy",2
WalkBike Worcester,Worcester Community Project Center,2
Walvis Bay Corridor Group,Namibia,5
WALVIS BAY CORRIDOR GROUP,Namibia,1
Walvis Bay Corridor Group,"Windhoek, Namibia",1
Wat Pathumwanaram School,"Bangkok, Thailand",4
Way Finders,"Venice, Italy",1
Web Accessibility Initiative Silver Task Force,"Venice, Italy",1
Webster Police Department,"Bangkok, Thailand",5
Wellington City Council,New Zealand,4
Wellington City Council,"Venice, Italy",1
Wellington Zoo,New Zealand,5
Wendy Wacko,Puerto Rico,1
Wesley United Methodist Church,New Zealand,1
West Boylston Water District,"Worcester, MA",1
West Roxbury Veterans Hospital,"Melbourne, Australia",1
Westminster City Council,"London, England",2
Whalen Biomedical Laboratories,Namibia,2
WICN,"Copenhagen, Denmark",3
WICN,"Bangkok, Thailand",1
WICN,Puerto Rico,1
WICN Public Radio,"Cape Town, South Africa",5
WICN Public Radio,Costa Rica,1
WICN Public Radio,"Worcester, MA",1
WICN radio,"San Juan, Puerto Rico",5
WICN Radio Station,Albania,2
WICN Radio Station,"Melbourne, Australia",1
William D. Singleton,"Hangzhou, China",1
Winslow Farm,Morocco,2
Winslow Farm,Puerto Rico,1
Women and Information Society NGO,"San Jose, Costa Rica",9
Women in Wine,"Cape Town, South Africa",1
"Woods Hole Oceanographic Institute, Woods Hole, MA","Hong Kong, China",7
Worcester Area Chamber of Commerce,"London, England",1
Worcester Art Museum,Worcester Community Project Center,28
Worcester Art Museum,"Venice, Italy",11
Worcester Art Museum,"Wuhan, China",6
Worcester Art Museum,"London, England",4
Worcester Art Museum,"Worcester, MA",4
Worcester Art Museum,"Cape Town, South Africa",1
Worcester Art Museum,Costa Rica,1
Worcester Art Museum,"Hong Kong, China",1
Worcester Arts Workshop,Albania,2
Worcester Bosch,"Washington, DC",4
Worcester Bosch Group & University of Worcester,"London, England",4
Worcester Business Development Corp (WBDC),"San Juan, Puerto Rico",2
Worcester Common Ground,"Bar Harbor, Maine",2
Worcester Common Ground,Worcester Community Project Center,2
Worcester Common Ground,"Venice, Italy",1
Worcester Common Ground,"Worcester, MA",1
Worcester Common Ground/ Pleasant St. Neighborhood,"Worcester, MA",1
Worcester Community Cable Access (WCCA),"Zurich, Switzerland",1
Worcester County Food Bank,"San Jose, Costa Rica",3
Worcester Department of Health and Human Services,"London, England",1
Worcester Department of Public Works,"Melbourne, Australia",7
Worcester District Court,"Venice, Italy",2
Worcester Division of Public Health,Worcester Community Project Center,4
Worcester Earn-A-Bike,"Venice, Italy",3
Worcester Earn-A-Bike,"Shanghai, China",1
Worcester Earn-A-Bike,Worcester Community Project Center,1
Worcester EcoTarium,Worcester Community Project Center,1
Worcester Education Collaborative,Worcester Community Project Center,1
Worcester Emergency Management,"San Jose, Costa Rica",1
Worcester Fire Department,"Sante Fe, New Mexico",1
Worcester Food and Active Living Policy Council,India,1
Worcester Food Policy & Active Living Council,"Boston, Massachusetts",2
Worcester Friendly House and WPI STEM Center,"San Jose, Costa Rica",1
Worcester Healthy Baby Collaborative,Worcester Community Project Center,1
Worcester Historical Museum,Worcester Community Project Center,9
Worcester Historical Museum,"Melbourne, Australia",8
Worcester Historical Museum,"Zurich, Switzerland",8
Worcester Historical Museum,"Hong Kong, China",3
Worcester Historical Museum,"Cape Town, South Africa",2
Worcester Historical Museum,"San Juan, Puerto Rico",1
Worcester InfoTech Corporation,Worcester Community Project Center,2
Worcester Investment Club,"Nantucket, Massachusetts",7
Worcester Latino Roundtable Committee,Worcester Community Project Center,2
Worcester Mayor's Office,Worcester Community Project Center,1
Worcester Mechanics Association,New Zealand,1
Worcester Mural Archive,"Venice, Italy",1
Worcester Polytechnic Institute,"Washington, DC",7
Worcester Polytechnic Institute,"London, England",2
Worcester Polytechnic Institute,"Melbourne, Australia",2
Worcester Polytechnic Institute,"Hong Kong, China",1
Worcester Public Library,Worcester Community Project Center,1
"Worcester Public School System, Worcester, MA","Venice, Italy",3
Worcester Public Schools,"Venice, Italy",8
Worcester Public Schools,Albania,4
Worcester Public Schools,"Cape Town, South Africa",4
Worcester Public Schools,Worcester Community Project Center,4
Worcester Public Schools,"London, England",3
Worcester Public Schools,"Melbourne, Australia",3
Worcester Public Schools,"Bangkok, Thailand",2
Worcester Public Schools,"Copenhagen, Denmark",2
Worcester Public Schools,"Worcester, MA",2
Worcester Public Schools,"Ifrane, Morocco",1
Worcester Public Schools,"Sante Fe, New Mexico",1
"Worcester Public Schools, Worcester, MA","Hong Kong, China",3
Worcester Refugee Assistance Project,Worcester Community Project Center,1
Worcester Regional Chamber of Commerce,Worcester Community Project Center,1
Worcester Regional Food Hub,Worcester Community Project Center,1
Worcester Regional Research Bureau,Worcester Community Project Center,2
"Worcester Regional Research Bureau, Worcester, Massachusetts","Washington, DC",3
Worcester Technical High School,"Sante Fe, New Mexico",12
Worcester Technical High School,"Bar Harbor, Maine",3
Worcester Technical High School,"Hangzhou, China",2
Worcester Technical High School,"London, England",1
"Worcester Tree Initiative, Department of Conservat",Worcester Community Project Center,2
Worcester Women's History Project,Costa Rica,1
Worcester Youth Center,Worcester Community Project Center,4
World Cultural Tours,Worcester Community Project Center,1
World Wide Fund for Nature,"Hong Kong, China",1
World Wide Fund for Nature in Hong Kong,"Hong Kong, China",5
World Wildlife Fund,Namibia,1
"WorldWinner, Inc.",Costa Rica,2
WPI,"Hong Kong, China",5
WPI,Japan (Multiple Cities),5
WPI,Worcester Community Project Center,4
WPI,"Melbourne, Australia",3
WPI,"Venice, Italy",3
WPI,"Washington, DC",2
WPI,"Worcester, MA",2
WPI,"Cape Town, South Africa",1
WPI,"London, England",1
WPI Academic Technology Center,"London, England",3
WPI Academic Technology Center,"Melbourne, Australia",1
WPI Admissions,"Zurich, Switzerland",2
WPI Admissions,New Zealand,1
WPI Choral Association,Costa Rica,4
WPI Department of Facilities,"Windhoek, Namibia",2
WPI Department of Facilities,New Zealand,1
WPI Department of Physics,"Bangkok, Thailand",4
WPI- Interdisciplinary and Global Studies Division,"Hangzhou, China",1
WPI K-12 Outreach Office,Puerto Rico,1
WPI London Project Center,"London, England",2
WPI Office of Disability Services,Russia,3
WPI Office of Disability Services,Worcester Community Project Center,1
WPI Office of Multicultural Affairs,"Panama City, Panama",6
WPI Office of Multicultural Affairs,"Boston, Massachusetts",1
WPI Office of Sustainability,New Zealand,1
WPI Plant Services,"Worcester, MA",3
WPI Plant Services,"Sante Fe, New Mexico",1
WPI Robotics Engineering Program,"London, England",1
WPI SGA,Russia,1
WPI Student Development and Counseling Center,"Worcester, MA",6
WPI Switzerland Project Center,"Zurich, Switzerland",2
WPI-Tsinghua Center for Global Public Safety,"Melbourne, Australia",1
WPI-Tsinghua Center for Global Public Safety,New Zealand,1
WriteMyNote,"San Juan, Puerto Rico",2
WRTA,"Melbourne, Australia",5
WRTA,"Hong Kong, China",1
WSSA     Water Supply and Sewerage Association of,Albania,1
WWF,"Hong Kong, China",2
WWF Hong Kong,"Hong Kong, China",6
Wyatt Wade,"Worcester, MA",1
Yarra Energy Foundation,"Melbourne, Australia",6
Yimi Children's House,"Bangkok, Thailand",1
YMCA,Worcester Community Project Center,2
Yoram Tencer,Microsoft Corporation,2
"YourEnergyOptions, Inc.","Worcester, MA",4
"YourEnergyOptions, Inc.","Panama City, Panama",1
Youth Center Borderless,Albania,1
Yunus,Albania,5
Yunus Social Business Balkans,Albania,1
ZHAW,Namibia,1
ZHAW School of Engineering,"Zurich, Switzerland",3
ZHAW School of Life Sciences,"Zurich, Switzerland",2
ZHAW School of Management and Law,"Zurich, Switzerland",1
Zniber Orphanage,"Venice, Italy",13
Zniber Orphanage,Morocco,2
"Zoological Parks and Gardens Board of Victoria, Melbourne, Australia",Worcester Community Project Center,1
Zoos Victoria,"Melbourne, Australia",11
Zoos Victoria,"Venice, Italy",1
